Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
7235533,"The Way of Kings (The Stormlight Archive, #1)",Brandon Sanderson,"Sanderson, Brandon",,0765326353,9780765326355,0,4.66,Tor Books,Hardcover,1007,2010,2010,,1/9/2026,to-read,to-read (#184),to-read,,,,0,0
2604526,"The Eighth Trumpet (Jared Kimberlain, #1)",Jon Land,"Land, Jon",,0449133982,9780449133989,0,3.9,Fawcett,Mass Market Paperback,400,1989,1989,,1/9/2026,to-read,to-read (#183),to-read,,,,0,0
43124137,The Beekeeper of Aleppo,Christy Lefteri,"Lefteri, Christy",,1984821210,9781984821218,0,4.16,Ballantine Books,Hardcover,317,2019,2019,,1/9/2026,to-read,to-read (#182),to-read,,,,0,0
1870558,"The Gamma Option  (Blaine McCracken, #3)",Jon Land,"Land, Jon",,0449133990,9780449133996,0,3.97,Fawcett,Mass Market Paperback,340,1989,1989,,1/9/2026,to-read,to-read (#181),to-read,,,,0,0
4622680,Catch a Falling Spy,Len Deighton,"Deighton, Len",,0345335937,9780345335937,0,3.81,Ballantine Books,Mass Market Paperback,288,1986,1976,,1/9/2026,to-read,to-read (#180),to-read,,,,0,0
13628812,The Rent Collector,Camron Wright,"Wright, Camron",,1609071220,9781609071226,0,4.27,Shadow Mountain,Hardcover,304,2012,2012,,1/9/2026,to-read,to-read (#179),to-read,,,,0,0
16967,1632,Eric Flint,"Flint, Eric",,1416532811,9781416532811,0,4.05,Baen Books,Paperback,597,2006,2000,,1/9/2026,to-read,to-read (#178),to-read,,,,0,0
50091,"The Complete Robot (Robot, #0.3)",Isaac Asimov,"Asimov, Isaac",,0586057242,9780586057247,0,4.33,Voyager/HarperCollins,Mass Market Paperback,688,1995,1982,,1/9/2026,to-read,to-read (#177),to-read,,,,0,0
32669,"Clear and Present Danger (Jack Ryan, #5; Jack Ryan Universe, #6)",Tom Clancy,"Clancy, Tom",,0425144372,9780425144374,0,4.14,Berkley Books,Mass Market Paperback,688,1994,1989,,5/3/2025,currently-reading,currently-reading (#6),currently-reading,,,,1,0
19691,"The Hunt for Red October (Jack Ryan, #3)",Tom Clancy,"Clancy, Tom",,0425172902,9780425172902,0,4.12,Berkley Trade,Mass Market Paperback,432,1999,1984,,5/3/2025,to-read,to-read (#176),to-read,,,,0,0
32682,"Patriot Games (Jack Ryan, #1)",Tom Clancy,"Clancy, Tom",,0425134350,9780425134351,0,4.17,Berkley,Mass Market Paperback,794,1992,1987,,5/3/2025,to-read,to-read (#175),to-read,,,,0,0
13157,The Jester,James  Patterson,"Patterson, James",Andrew Gross,0755300203,9780755300204,4,3.82,Headline Paperbacks,Paperback,548,2004,2003,5/3/2025,4/20/2025,,,read,,,,1,0
625603,"Horus Rising (The Horus Heresy, #1)",Dan Abnett,"Abnett, Dan",,184416294X,9781844162949,0,4.26,Black Library,Paperback,416,2006,2006,,4/27/2025,currently-reading,currently-reading (#5),currently-reading,,,,1,0
209175992,Built with Purpose: How Our Employee-Owned Business Changed What it Means to Work and Why,Bill Roark,"Roark, Bill",,1632998041,9781632998040,4,4,River Grove Books,Kindle Edition,222,2024,,,2/22/2025,,,read,,,,0,0
